Name,customerID,Number of Calls,Voice National (Min.),Voice International (Min.),Voice Roaming (Min.),Voice Premium (Min.),Data National (MB),Data Roaming (MB),Data Premium (MB),Messaging National,Messaging International,Messaging Roaming,Messaging Premium,"Voice National Charge
ex. Tax
(GBP)","Voice International Charge
ex. Tax
(GBP)","Voice Roaming Charge
ex. Tax
(GBP)","Voice Premium Charge
ex. Tax
(GBP)","Data National Charge
ex. Tax
(GBP)","Data Roaming Charge
ex. Tax
(GBP)","Data Premium Charge
ex. Tax
(GBP)","Messaging National Charge
ex. Tax
(GBP)","Messaging International Charge
ex. Tax
(GBP)","Messaging Roaming Charge
ex. Tax
(GBP)","Messaging Premium Charge
ex. Tax
(GBP)","Usage Charge Total
ex. Tax
(GBP)","Recurring Charge
ex. Tax
(GBP)","Device Fee
ex. Tax
(GBP)","Daily Roaming Fee
ex. Tax
(GBP)","Monthly Roaming Fee
ex. Tax
(GBP)","Adjustments
ex. Tax
(GBP)","Credit
ex. Tax
(GBP)","Total
Taxable
(GBP)","Total
Non-Taxable
(GBP)","Total
ex. Tax
(GBP)","Total Tax
(GBP)","Total
(GBP)"
AARON,0601-WZHJF,0,0,0,0,0,149.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AARTI,3859-CVCET,16,112,0,0,0,"9,809.52",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
AASHIKA,2889-FPWRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,1.18,0,1.18,0.24,1.42
AASHISH,1051-GEJLJ,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,2.16,0,2.16,0.43,2.59
AASHRIYA,0104-PPXDV,0,0,0,0,0,36.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AATHIRAI,9919-YLNNG,4,0,0,2,0,0,74.97,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABBAS,7801-KICAO,41,341,0,0,0,"2,658.67",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
ABBEY,0197-PNKNK,3,2,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABBIE,1670-SVOWZ,0,0,0,0,0,"4,385.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
ABBY,5334-AFQJB,0,0,0,0,0,"3,255.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0,0,11.66,0,11.66,2.33,13.99
ABDI,1785-BPHTP,0,0,0,0,0,515.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ABDUL,0945-TSONX,0,0,0,0,0,"1,330.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ABDULGAFAR,3547-LQRIK,87,798,0,0,0,479.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ABDULLAH,2894-QOJRX,85,323,0,0,0,"9,264.22",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
ABDULSAMAD,3061-BCKYI,9,10,0,0,0,37.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABDUR-RAHMAN,4513-CXYIX,13,95,0,0,0,"2,031.37",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ABEL,2649-HWLYB,12,11,0,0,0,"19,221.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,3.33,0,0,0,0,26.01,0,26.01,5.2,31.21
ABHAY,2363-BJLSL,0,0,0,0,0,"18,178.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,3.33,0,0,0,0,24.66,0,24.66,4.93,29.59
ABHIJIT,2680-XKKNJ,12,84,0,0,0,218.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABHINAV,8982-NHAVY,34,368,0,0,0,533.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ABHISHEK,4903-CNOZC,0,0,0,0,0,466.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ABHISHIRI,5384-ZTTWP,13,60,0,0,0,164.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABHIVIJAY,1194-HVAIF,1,78,0,0,0,712.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ABI,6848-HJTXY,31,112,0,0,0,"1,522.17",0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ABID,9492-TOKRI,0,0,0,0,0,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABIDA,5044-XDPYX,0,0,0,0,0,501.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ABIGAEL,2040-VZIKE,305,"1,618",232,0,0,"2,087.10",0,0,92,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,15.63,11.66,3.33,0,0,0,0,30.62,0,30.62,6.12,36.74
ABIGAIL,2967-MXRAV,8,153,0,0,0,420.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ABIGAYIL,0468-YRPXN,0,0,0,0,0,56.94,29.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABINASH,7277-OZCGZ,44,350,0,0,0,"4,366.21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
ABISOLA,7614-QVWQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
ABLA,1299-AURJA,0,0,0,0,0,244.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABONGILE,3970-XGJDU,0,0,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ABRAR,3537-RYBHH,5,13,0,0,0,"24,869.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.73,3.33,0,0,0,0,30.06,0,30.06,6.01,36.07
ABU,5609-IMCGG,1,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
ABUZARR,8468-EHYJA,1,0,0,0,0,"2,284.23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
ACACIA,7337-CINUD,14,123,0,0,0,348.32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ACHAWIN,1541-ETJZO,7,17,0,0,0,147.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ADAKU,4203-QGNZA,1,1,0,0,0,"12,377.39",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.63,3.33,0,0,0,0,21.96,0,21.96,4.39,26.35
ADAM,3266-FTKHB,0,0,0,0,0,44.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ADAMA,0325-XBFAC,8,5,0,1,0,624.28,"3,595.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,120,0,0,0,136.72,0,136.72,27.34,164.06
ADAU,6474-FVJLC,76,239,0,0,0,"4,848.29",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,17.7,17.7,13.39,3.33,0,0,0,0,34.42,0,34.42,6.88,41.3
ADDISON,6504-VBLFL,49,11,45,171,0,"2,314.13","5,710.15",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,0,0,0,0,18.02,0,18.02,3.6,21.62
ADE,4550-VBOFE,77,256,0,0,0,883.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ADEEL,4323-OHFOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
ADELE,7892-QVYKW,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,1.5,0.3,1.8
ADELLE,4735-ASGMA,127,475,0,0,0,"1,933.51",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,9.5,3.33,0,0,0,0,12.84,0,12.84,2.57,15.41
ADEOLA,4883-KCPZJ,56,124,144,0,0,"1,622.56",0,0,5,3,0,0,0,13.24,0,0,0,0,0,0,0,0,0,13.24,9.5,3.33,0,0,0,0,26.07,0,26.07,5.21,31.28
ADEOLU,0979-PHULV,2,38,0,0,0,"1,344.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ADESEYE,2979-SXESE,148,"1,429",0,0,0,"1,905.27",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ADEYEMI,2018-QKYGT,21,159,0,0,0,"1,110.70",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ADHAAR,8513-OLYGY,9,17,0,9,0,415.44,0,0,0,0,0,0,0,0,8.61,0,0,0,0,0,0,0,0,8.61,3.89,3.33,0,0,0,0,7.22,8.61,15.83,1.44,17.28
ADHAM,7278-CKDNC,0,0,0,0,0,635.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ADIL,4718-DHSMV,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ADINA,9443-JUBUO,2,86,0,0,0,"1,763.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ADIPUTRA,5666-CYCYZ,1,6,0,0,0,645.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ADITI,4566-NECEV,12,25,0,0,0,"45,143.41",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.23,3.33,0,0,0,0,43.56,0,43.56,8.71,52.27
ADITYA,7421-ZLUPA,17,144,0,0,0,491.3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ADIYA,1704-NRWYE,2,1,0,0,0,351.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
ADNAAN,8734-DKSTZ,6,24,0,0,0,"1,271.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
ADNAHN,6203-HBZPA,11,76,0,0,0,148.58,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ADNAN,8746-BFOAJ,0,0,0,0,0,"1,180.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,9.5,0,9.5,1.9,11.4
ADNANE,7801-CEDNV,75,353,84,332,0,"1,292.22","13,976.97",0,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,3.33,0,0,0,0,23.31,0,23.31,4.66,27.97
ADONAI,6927-WTFIV,0,0,0,0,0,984.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ADRIA,5542-NKVRU,3,16,0,0,0,"2,921.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
ADRIAN,6184-DYUOB,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
ADRIEL,1730-ZMAME,31,83,0,0,0,781.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
ADRIEN,3070-BDOQC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
ADRIENNE,2806-MLNTI,58,196,0,0,0,"15,567.66",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,3.33,0,0,0,0,23.31,0,23.31,4.66,27.97
ADULIS,0301-KOBTQ,7,28,0,0,0,33.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AENGUS,8711-LOBKY,2,1,0,0,0,"8,707.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
AERY,9150-KPBJQ,6,8,13,53,0,"3,394.01",202.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
AESHAH,6207-WIOLX,0,0,0,0,0,135.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AFFAN,9253-QXKBE,3,0,0,0,16,478.64,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,1.72,3.89,3.33,0,0,0,0,8.94,0,8.94,1.79,10.73
AFIFA,1951-IEYXM,7,10,0,0,0,"4,551.53","2,494.90",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,25,0,0,0,43.02,0,43.02,8.6,51.62
AFNAAN,7549-MYGPK,0,0,0,0,0,212.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AFSANA,1089-HDMKP,3,18,0,0,0,45.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AFTAB,5799-JRCZO,1,1,0,0,0,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AGALYAH,9146-JRIOX,3,10,0,0,0,588.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
AGATA,7632-YUTXB,1,0,0,0,0,137.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AGATHA,1942-OQFRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AGATHE,1548-ARAGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AGGIE,9351-HXDMR,0,0,0,0,0,146.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AGNES,8582-KRHPJ,0,0,0,0,0,179.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AGNIESZKA,1230-QAJDW,5,1,0,0,0,"53,629.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.63,3.33,0,0,0,0,48.96,0,48.96,9.79,58.75
AHMAD,2325-ZUSFD,6,5,0,0,0,824.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
AHMED,8785-CJSHH,6,46,0,0,0,"2,902.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
AHMET,0214-JHPFW,63,505,250,0,0,"2,384.39",0,0,32,0,0,0,0,34.79,0,0,0,0,0,0,0,0,0,34.79,11.66,3.33,0,0,0,0,49.78,0,49.78,9.96,59.73
AHNEES,9575-IWCAZ,1,2,0,0,0,133.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AHSAN,9534-NSXEM,30,85,0,0,0,"10,110.59",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
AIDAN,5260-UMPWX,4,47,2,0,0,"9,800.54",0,0,1,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.16,15.98,3.33,0,0,0,0,19.47,0,19.47,3.89,23.36
AIDEEN,3334-CTHOL,15,48,0,5,0,"5,505.79","29,281.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.13,3.33,0,0,0,0,35.46,0,35.46,7.09,42.55
AI-LINH,2040-XBAVJ,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AILISH,6040-CGACY,5,3,0,0,0,"2,757.57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
AILSA,6784-XYJAE,2,6,0,0,0,178.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AIMEE,6994-KERXL,26,126,6,0,0,"4,619.20",0,0,10,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.64,13.39,3.33,0,0,0,0,17.36,0,17.36,3.47,20.83
AIMI,4658-HCOHW,26,430,0,0,0,26.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AINE,5027-QPKTE,36,147,3,24,0,"1,714.71","6,323.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,0,0,0,0,18.02,0,18.02,3.6,21.62
AINO,1535-VTJOQ,91,199,0,0,38,"8,000.61",0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,4.07,14.69,3.33,0,0,0,0,22.09,0,22.09,4.42,26.51
AISHA,0595-ITUDF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AISLEAN,8286-AFUYI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.11,0,0.11,0.02,0.13
AISLIIN,3090-LETTY,8,294,0,0,0,"1,529.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
AISLING,7789-CRUVC,0,0,0,0,0,924.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
AJA,4710-FDUIZ,2,84,0,0,0,109.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AJAM,7064-JHXCE,1,6,0,0,0,27.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AJAY,4580-TMHJU,5,1,0,5,0,"5,188.45","4,740.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,25,0,0,0,44.31,0,44.31,8.86,53.17
AJIBOLA,1093-YSWCA,3,1,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AJIT,3893-JRNFS,0,0,0,0,0,514.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,2.36,0,2.36,0.47,2.83
AJNA,3509-GWQGF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AKAASH,0947-MUGVO,6,6,0,0,0,57.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AKANKSHA,0827-ITJPH,0,0,0,0,0,5.82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,2.5,0,0,0,7.99,0,7.99,1.6,9.59
AKASH,4919-IKATY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AKAZHAN,7976-CICYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKBAR,8099-MZPUJ,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AKBER,0164-XAIRP,2,17,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
AKHIL,3317-HRTNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AKI,9227-YBAXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
AKIKO,9039-RBEEE,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
